escenario,estimando,valor,N
aleatorizacion_unica,ATE,.75,80000
aleatorizacion_unica,ATT,.7510136657155729,80000
aleatorizacion_unica,ATU,.7489886630375069,80000
aleatorizacion_unica,CATE_X0,1.25,80000
aleatorizacion_unica,CATE_X1,.25,80000
aleatorizacion_unica,COEF_REG_D,.7509886656815542,80000
aleatorizacion_unica,DESV_NAIVE_ATE,.0009886656825095,80000
aleatorizacion_unica,NAIVE,.7509886656825095,80000
aleatorizacion_unica,SESGO_ATT,-.0000250000330634,80000
datos_duplicados,ATE,.75,80000
datos_duplicados,ATT,.75,80000
datos_duplicados,ATU,.75,80000
datos_duplicados,CATE_X0,1.25,80000
datos_duplicados,CATE_X1,.25,80000
datos_duplicados,COEF_REG_D,6.75,80000
datos_duplicados,DESV_NAIVE_ATE,6,80000
datos_duplicados,NAIVE,6.75,80000
datos_duplicados,SESGO_ATT,6,80000
datos_originales,ATE,.75,8
datos_originales,ATT,.75,8
datos_originales,ATU,.75,8
datos_originales,CATE_X0,1.25,8
datos_originales,CATE_X1,.25,8
datos_originales,COEF_REG_D,6.750000000000001,8
datos_originales,DESV_NAIVE_ATE,6,8
datos_originales,NAIVE,6.75,8
datos_originales,SESGO_ATT,6,8
