estimator,estimand,estimate,se
Diferencia cruda,ATE,.33249702158548,
HT manual,ATE,.3276865513918011,
Hajek manual,ATE,.3277857701227029,
HT manual,ATT,.3320236433557707,
Hajek manual,ATT,.3322074126110385,
reg ponderada,ATE,.3277857701227035,.034001745
reg ponderada,ATT,.3322074126110296,.034241728
teffects ipw,ATE,.3277857701105831,.03356215
teffects aipw,ATE,.3281843272266016,.033589512
teffects ipwra,ATE,.3280667085770598,.033581145
teffects ipw,ATT,.3322074125964606,.03384399
teffects aipw,ATT,.3319309151753302,.033858184
teffects ipwra,ATT,.3317502082533206,.033841845
