weight,statistic,value
w_ate,p1,1.45964750456252
w_ate,p50,1.976605742805161
w_ate,p99,2.876078136677529
w_ate,max,3.819345979065397
w_ate,sum,7999.691276249774
w_ate,ESS,3930.392608934656
w_att,p1,.4924048472304458
w_att,p50,1
w_att,p99,1.495053629169954
w_att,max,2.802789614418677
w_att,sum,3903.63252332647
w_att,ESS,3872.013922889295
w_ate_stab,p1,.7308703400739744
w_ate_stab,p50,.9879441948048266
w_ate_stab,p99,1.406143703998179
w_ate_stab,max,1.947028282582362
w_ate_stab,sum,3999.840523369725
w_ate_stab,ESS,3932.900484395609
