year,treated,synthetic,manual_synthetic,gap,post
1970,123,117.1224998779297,117.1224998779297,5.877500122070302,0
1971,121,118.9268985671997,118.9268985671997,2.073101432800286,0
1972,123.5,124.3168025512695,124.3168025512695,-.8168025512695181,0
1973,124.4,125.4837985153198,125.4837985153198,-1.083796989440927,0
1974,126.7,127.0066996688843,127.0066996688843,-.3067027206421074,0
1975,127.1,127.116899482727,127.1168994827271,-.0169010086059558,0
1976,128,127.8924989929199,127.8924989929199,.1075010070800744,0
1977,126.4,125.7576009292603,125.7576009292602,.6424005966186428,0
1978,126.1,125.0030983886719,125.0030983886719,1.096900085449221,0
1979,121.9,122.9415009231567,122.9415009231567,-1.041499397277818,0
1980,120.2,120.4819002990723,120.4819002990723,-.2819033508300919,0
1981,118.6,120.2105983352661,120.2105983352661,-1.610599861145019,0
1982,115.4,116.8767010269165,116.8767010269165,-1.476699501037587,0
1983,110.8,111.3292990570068,111.3292990570068,-.529296005249023,0
1984,104.8,103.3590016708374,103.3590016708374,1.441001380920397,0
1985,102.8,103.23869921875,103.23869921875,-.4386961669921732,0
1986,99.699997,99.83780280303955,99.83780280303955,-.1378058547973637,0
1987,97.5,99.7549978942871,99.7549978942871,-2.254997894287101,0
1988,90.099998,91.67349821472168,91.67349821472169,-1.573499740600582,0
1989,82.400002,90.0025983352661,90.0025983352661,-7.602596809387194,1
1990,77.800003,87.5086008682251,87.5086008682251,-9.708597816467289,1
1991,68.699997,82.15799961090087,82.15799961090089,-13.45800266265869,1
1992,67.5,81.58240018463135,81.58240018463135,-14.08240018463135,1
1993,63.400002,81.16239954757691,81.16239954757691,-17.762398021698,1
1994,58.599998,80.69319806289674,80.69319806289673,-22.09319958877565,1
1995,56.400002,78.45580081176757,78.45580081176757,-22.05579928588867,1
1996,54.5,77.44370036315918,77.44370036315917,-22.94370036315918,1
1997,53.799999,77.66760053634644,77.66760053634644,-23.86760129928589,1
1998,52.299999,74.3454993095398,74.3454993095398,-22.04550007247926,1
1999,47.200001,73.53380042648314,73.53380042648314,-26.33379966354369,1
2000,41.599998,67.3186996383667,67.3186996383667,-25.7187011642456,1
