unit_id,unit,pre_rmspe,post_rmspe,ratio,eligible,optimization,ratio_at_least_california,eligible_share_ge_california
1,Alabama,2.285906566881703,2.5953813,1.1353837,1,nested,0,.0303030303030303
2,Arkansas,2.051607601531412,4.2183089,2.0560994,1,nested,0,.0303030303030303
3,California,1.754305700606463,19.913477,11.351202,1,nested,1,.0303030303030303
4,Colorado,4.102889200743284,5.87075,1.430882,1,nested,0,.0303030303030303
5,Connecticut,4.039125486663544,12.187138,3.0172715,1,nested,0,.0303030303030303
6,Delaware,6.354030966131746,20.957874,3.2983589,1,nested,0,.0303030303030303
7,Georgia,1.187436277100209,11.649686,9.8107882,1,nested,0,.0303030303030303
8,Idaho,2.348678084050658,6.1585536,2.6221361,1,nested,0,.0303030303030303
9,Illinois,2.577416383765597,5.7775216,2.2415943,1,nested,0,.0303030303030303
10,Indiana,3.761738542070827,21.543053,5.7268877,1,nested,0,.0303030303030303
11,Iowa,3.611615203706963,6.4861937,1.795926,1,nested,0,.0303030303030303
12,Kansas,3.868105320111741,3.4905281,.90238702,1,nested,0,.0303030303030303
13,Kentucky,20.44327332546065,39.866642,1.9501106,0,nested,,.0303030303030303
14,Louisiana,1.492884371858871,8.0023279,5.3603129,1,nested,0,.0303030303030303
15,Maine,3.096355512818672,11.292095,3.6468987,1,nested,0,.0303030303030303
16,Minnesota,3.937883460738956,4.0446959,1.0271243,1,nested,0,.0303030303030303
17,Mississippi,2.034433692094406,5.5327134,2.7195349,1,nested,0,.0303030303030303
18,Missouri,1.04393170402171,8.1173935,7.7757897,1,nested,0,.0303030303030303
19,Montana,2.299690443231756,7.4093013,3.221869,1,nested,0,.0303030303030303
20,Nebraska,2.30925994991713,4.8629389,2.1058428,1,nested,0,.0303030303030303
21,Nevada,6.371041161704545,9.1359539,1.4339813,1,nested,0,.0303030303030303
22,New Hampshire,59.03776176751154,17.684906,.29955244,0,nested,,.0303030303030303
23,New Mexico,2.155572186773119,7.974175,3.699331,1,nested,0,.0303030303030303
24,North Carolina,9.022787693471555,7.5741954,.83945179,0,nested,,.0303030303030303
25,North Dakota,2.838954684716439,8.6503096,3.0470049,1,nested,0,.0303030303030303
26,Ohio,1.409275766855779,2.5327046,1.7971674,1,nested,0,.0303030303030303
27,Oklahoma,2.683949345552167,11.8339,4.4091368,1,nested,0,.0303030303030303
28,Pennsylvania,1.669299818334809,2.7079327,1.6221967,1,nested,0,.0303030303030303
29,Rhode Island,11.21760374230954,22.884188,2.0400245,0,nested,,.0303030303030303
30,South Carolina,1.480083346301811,6.4144392,4.3338366,1,nested,0,.0303030303030303
31,South Dakota,2.955910150745618,5.7338586,1.9397945,1,nested,0,.0303030303030303
32,Tennessee,2.281267352645024,11.104489,4.8676844,1,nested,0,.0303030303030303
33,Texas,2.161572632597953,15.699569,7.263031,1,nested,0,.0303030303030303
34,Utah,24.36727762979093,14.942417,.61321652,0,default_fallback_after_rc430,,.0303030303030303
35,Vermont,3.756862933015484,11.175376,2.9746563,1,nested,0,.0303030303030303
36,Virginia,1.922592869876514,14.088212,7.3277149,1,nested,0,.0303030303030303
37,West Virginia,2.845699721712226,15.192341,5.3387012,1,nested,0,.0303030303030303
38,Wisconsin,1.722718708219711,7.0308447,4.0812492,1,nested,0,.0303030303030303
39,Wyoming,9.680434807025792,5.2641912,.54379696,0,nested,,.0303030303030303
