analysis,variable,window,expected,observed,missing,pass
panel,states,1970-2000,39,39,0,1
panel,years,1970-2000,31,31,0,1
panel,unit_years,1970-2000,1209,1209,0,1
donor_pool,eligible_donors,1970-2000,38,38,0,1
main,cigsale,1970-2000,1209,1209,0,1
main,beer,1984-1988,195,195,0,1
main,lnincome,1980-1988,351,351,0,1
main,retprice,1980-1988,351,351,0,1
main,age15to24,1980-1988,351,351,0,1
main,cigsale,1975,39,39,0,1
main,cigsale,1980,39,39,0,1
main,cigsale,1988,39,39,0,1
time_placebo,lnincome,1972-1979,312,312,0,1
time_placebo,retprice,1972-1979,312,312,0,1
time_placebo,age15to24,1972-1979,312,312,0,1
time_placebo,cigsale,1970,39,39,0,1
time_placebo,cigsale,1975,39,39,0,1
time_placebo,cigsale,1979,39,39,0,1
