id,Z,female,low_income,baseline_score,D,Y
1,1,0,1,52.18023849947041,1,60.64409554138576
2,0,1,1,38.75817159150154,0,60.34393255758491
3,0,1,1,66.28322193610535,0,62.62365666326808
4,1,1,0,42.92523310491318,1,63.03787775173556
5,1,1,0,52.08447894011798,1,62.57633371474498
6,1,0,1,56.23038568511194,0,62.94769370715495
7,1,1,0,59.55749403508658,1,67.30092066727319
8,1,1,1,42.91669521359177,1,61.3352553729389
9,0,0,0,56.42623802057514,1,62.83532863443608
10,0,1,1,66.19365567633541,0,64.74719599183365
11,1,1,0,32.21364093186887,0,56.68016458881917
12,1,1,0,69.39938356112766,1,66.00253944945759
13,0,1,1,43.11285915170354,0,58.79536469477151
14,1,0,1,50.81743139420986,1,62.22720110020196
15,0,1,0,50.14193716352278,0,61.76782335870634
16,0,1,1,44.31856545483909,0,63.76454481580929
17,0,0,0,63.35530528136802,0,62.27040528835546
18,0,1,1,40.45761230113756,0,61.72624650303376
19,1,0,1,46.55696782663651,1,60.38471693889107
20,0,0,0,48.08362424921131,1,62.0754394733414
21,1,1,0,54.97618090172376,0,63.47904869270075
22,0,1,0,41.47076596979305,1,62.30679884200902
23,0,1,0,73.62063004179684,0,68.60278506583428
24,1,0,1,41.79712621649939,1,57.95965126749949
25,1,0,1,28.89614935821558,1,57.91633691690497
26,0,0,1,51.13126447329027,0,59.5383742140871
27,0,0,1,54.33784265317182,0,62.77389338182896
28,1,0,0,51.74937721275796,1,61.98367237451026
29,0,1,1,57.3678540689048,0,62.14036535213353
30,0,1,1,42.6499860229159,1,61.76222076577493
31,0,0,0,37.44140829475681,1,62.03641492251329
32,1,1,0,61.682886427799,1,66.15613917084995
33,1,0,1,57.3330739694307,1,63.06065058937937
34,0,1,1,37.80692114305366,1,60.58029047950768
35,1,0,1,61.13034308538606,1,63.12573040711938
36,0,1,1,53.64494409270068,0,63.03074355566086
37,1,1,1,43.72224665093205,1,64.80803985353124
38,1,0,1,54.69491476463974,1,61.01183448693319
39,0,1,1,47.04000315888041,0,60.0528320721062
40,0,1,1,59.2032959723937,0,63.97938786645848
41,1,1,0,44.4672404693402,1,65.68978515929768
42,0,1,1,40.84277895635086,0,58.66298593058186
43,1,0,1,26.4408221910809,1,58.59951231505968
44,1,0,1,47.39651697399776,1,60.77358551646108
45,1,1,1,59.31243986661755,1,64.98210531772197
46,1,1,1,38.53723332309833,0,58.09080857358455
47,0,1,0,40.4441802311318,0,63.02410551357875
48,1,1,0,50.23801874298014,1,62.95922961573116
49,1,1,0,48.31368808272633,1,63.12636017838503
50,1,0,1,41.4740126352559,1,61.59831219968189
51,1,1,1,60.98678698444306,1,61.68905112792231
52,0,1,0,58.37725635224174,0,64.44713283661109
53,0,1,1,42.93830100551986,0,60.60946213928766
54,1,1,1,35.44803398939472,1,61.07669735422199
55,0,1,1,40.40417798497813,0,60.50023655006391
56,1,1,0,52.82299770083322,1,64.03611543500487
57,1,1,1,36.11132795419129,1,59.7846929307447
58,0,0,1,47.87241609904166,0,59.90925505350584
59,0,0,0,48.03483699818454,0,61.54440459650748
60,0,1,1,40.25046378457063,0,62.01791781319574
61,1,0,0,44.94264310427639,1,61.90385709672589
62,0,0,0,48.69497945333143,1,61.16344220443462
63,0,1,0,71.87295771420017,0,67.25067817388656
64,1,1,0,49.25022705534231,0,65.66029826756906
65,0,1,0,52.594525313182,0,64.87683461124848
66,1,1,1,53.74776472093018,1,63.44189073326068
67,1,1,0,64.15523007079602,0,66.82096724209069
68,1,1,1,50.85746823437188,0,60.05912872108102
69,1,0,0,44.69979665726085,1,62.32935320695103
70,0,1,0,59.02085133881781,0,60.85816038279387
